pair_id,targetA.tStart,targetA.frameNStart,targetA.tEnd,targetA.frameNEnd,targetB.tStart,targetB.frameNStart,targetB.tEnd,targetB.frameNEnd,response,response_type,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,fixateStartTime,fixateDuration,targetStartTime,targetDuration,colour1,colour2,participant,session,date,expName,psychopyVersion,OS,frameRate
131,0.516,31,1.015,61,0.516,31,1.015,61,5,similarity,0,52,52,130,1,0.25,0.25,0.5,0.5,#9aa400,#007b75,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
71,0.5,30,1.001,60,0.5,30,1.001,60,1,similarity,0,53,53,70,1,0.25,0.25,0.5,0.5,#753a7a,#d2b700,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
13,0.503,30,1.002,60,0.503,30,1.002,60,5,similarity,0,54,54,12,1,0.25,0.25,0.5,0.5,#db8b08,#c13547,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
60,0.5,30,1.001,60,0.5,30,1.001,60,2,similarity,0,55,55,59,1,0.25,0.25,0.5,0.5,#005692,#9aa400,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
21,0.517,31,1,60,0.517,31,1,60,6,similarity,0,56,56,20,1,0.25,0.25,0.5,0.5,#db8b08,#9aa400,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
73,0.516,31,1.016,61,0.516,31,1.016,61,0,similarity,0,57,57,72,1,0.25,0.25,0.5,0.5,#005692,#d2b700,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
93,0.514,31,1.015,61,0.514,31,1.015,61,0,similarity,0,58,58,92,1,0.25,0.25,0.5,0.5,#006a8b,#c7512c,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
99,0.5,30,1.017,61,0.5,30,1.017,61,2,similarity,0,59,59,98,1,0.25,0.25,0.5,0.5,#4b488e,#c13547,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
40,0.516,31,1,60,0.516,31,1,60,5,similarity,0,60,60,39,1,0.25,0.25,0.5,0.5,#a03663,#4b488e,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
31,0.514,31,1.016,61,0.514,31,1.016,61,6,similarity,0,61,61,30,1,0.25,0.25,0.5,0.5,#c13547,#a03663,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
